Temperature (C),Temperature (K),Concentration (mg/l),Concentration (micromol/dm3)
0,273.15,14.621,456.923384626924
1,274.15,14.216,444.26665999975
2,275.15,13.829,432.172456467118
3,276.15,13.46,420.640774029026
4,277.15,13.107,409.609110341638
5,278.15,12.77,399.077465404953
6,279.15,12.448,389.014588047052
7,280.15,12.139,379.357975924097
8,281.15,11.843,370.107629036089
9,282.15,11.56,361.263547383027
10,283.15,11.288,352.763228621073
11,284.15,11.027,344.606672750228
12,285.15,10.777,336.793879770491
13,286.15,10.537,329.293598509944
14,287.15,10.306,322.074577796667
15,288.15,10.084,315.136817630661
16,289.15,9.87,308.449066840006
17,290.15,9.665,302.042576596622
18,291.15,9.467,295.854844556671
19,292.15,9.276,289.885870720152
20,293.15,9.092,284.135655087066
21,294.15,8.915,278.604197657412
22,295.15,8.743,273.228996087353
23,296.15,8.578,268.072552720727
24,297.15,8.418,263.072365213695
25,298.15,8.263,258.228433566259
26,299.15,8.113,253.540757778417
27,300.15,7.968,249.009337850169
28,301.15,7.828,244.634173781517
29,302.15,7.691,240.352763228621
30,303.15,7.559,236.22760853532
31,304.15,7.43,232.196207357776
32,305.15,7.305,228.289810867908
33,306.15,7.183,224.477167893796
34,307.15,7.065,220.78952960736
35,308.15,6.95,217.195644836681
36,309.15,6.837,213.66426240984
37,310.15,6.727,210.226633498756
38,311.15,6.62,206.882758103429
39,312.15,6.515,203.601385051939
40,313.15,6.412,200.382514344288
